user_input,reference_contexts,reference,persona_name,query_style,query_length,synthesizer_name
What is the SECURITIES EXCHANGE ACT OF 1934 mentioned in the Form 10-K section 13 or 15(d) anunal report?,"['Table of Contents\nUNITED STATES\nSECURITIES AND EXCHANGE COMMISSION\nWashington, D.C. 20549\nFORM 10-K\n(Mark One)\n☑ ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(D) OF THE SECURITIES EXCHANGE ACT OF 1934\nFOR THE FISCAL YEAR ENDED MAY 31, 2023\nOR\n☐ TRANSITION REPORT PURSUANT TO SECTION 13 OR 15(D) OF THE SECURITIES EXCHANGE ACT OF 1934\nFOR THE TRANSITION PERIOD FROM                         TO                         .\nCommission File No. 1-10635\nNIKE, Inc.\n(Exact name of Registrant as specified in its charter)']","In the provided Form 10-K excerpt, the report is described as an annual report pursuant to section 13 or 15(d) of the SECURITIES EXCHANGE ACT OF 1934. The excerpt also notes an alternative option for a transition report pursuant to section 13 or 15(d) of the SECURITIES EXCHANGE ACT OF 1934.",Avery Collins,MISSPELLED,SHORT,single_hop_specific_query_synthesizer
What is the misspelled state name in the registrant address: Oregon?,"[""Commission File No. 1-10635\nNIKE, Inc.\n(Exact name of Registrant as specified in its charter)\nOregon 93-0584541\n(State or other jurisdiction of incorporation) (IRS Employer Identification No.)\nOne Bowerman Drive, Beaverton, Oregon 97005-6453\n(Address of principal executive offices and zip code)\n(503) 671-6453\n(Registrant's telephone number, including area code)\nSECURITIES REGISTERED PURSUANT TO SECTION 12(B) OF THE ACT:\nClass B Common Stock NKE New York Stock Exchange""]",The context shows the registrant address includes Oregon 97005-6453.,Jordan Ellis,MISSPELLED,MEDIUM,single_hop_specific_query_synthesizer
What is Rule 405 in the context of whether Nike is a well-known seasoned issuer?,"['Class B Common Stock NKE New York Stock Exchange\n(Title of each class) (Trading symbol) (Name of each exchange on which registered)\nSECURITIES REGISTERED PURSUANT TO SECTION 12(G) OF THE ACT:\nNONE\nIndicate by check mark: YES NO\n• if the registrant is a well-known seasoned issuer, as defined in Rule 405 of the Securities Act. þ ¨\n• if the registrant is not required to file reports pursuant to Section 13 or Section 15(d) of the Act. ¨ þ']","The context states that the registrant is a well-known seasoned issuer, as defined in Rule 405 of the Securities Act. It also provides an indication check mark for whether the registrant is a well-known seasoned issuer (YES/NO) and whether the registrant is not required to file reports pursuant to Section 13 or Section 15(d) of the Act (YES/NO).",Morgan Lee,MISSPELLED,LONG,single_hop_specific_query_synthesizer
"In SEC filings, what does Rule 405 require regarding Interactive Data Files and registrant reporting status?","['• whether the registrant (1) has filed all reports required to be filed by Section 13 or 15(d) of the Securities Exchange Act of 1934 during the preceding\n12 months (or for such shorter period that the registrant was required to file such reports), and (2) has been subject to such filing requirements for the\npast 90 days.\nþ ¨\n• whether the registrant has submitted electronically every Interactive Data File required to be submitted pursuant to Rule 405 of Regulation S-T']","Rule 405 involves two checks: (1) whether the registrant has filed all reports required by Section 13 or 15(d) of the Securities Exchange Act of 1934 during the preceding 12 months (or for such shorter period that the registrant was required to file such reports), and whether the registrant has been subject to such filing requirements for the past 90 days; and (2) whether the registrant has submitted electronically every Interactive Data File required to be submitted pursuant to Rule 405 of Regulation S-T.",Avery Collins,WEB_SEARCH_LIKE,SHORT,single_hop_specific_query_synthesizer
"In Rule 12b-2, how does the classification of a registrant (large accelerated filer, accelerated filer, non-accelerated filer, smaller reporting company, or emerging growth company) relate to the preceding 12 months requirement?","['(§232.405 of this chapter) during the preceding 12 months (or for such shorter period that the registrant was required to submit such files).\nþ ¨\n• whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, a smaller reporting company or an emerging growth company. See the definitions of “large accelerated filer,”\n“accelerated filer,” “smaller reporting company,” and “emerging growth company” in Rule 12b-2 of the Exchange Act.']","The context states that the determination is made during the preceding 12 months (or for such shorter period that the registrant was required to submit such files). It also states that this determination includes whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, a smaller reporting company, or an emerging growth company, and it directs the reader to the definitions of these terms in Rule 12b-2 of the Exchange Act.",Morgan Lee,WEB_SEARCH_LIKE,LONG,single_hop_specific_query_synthesizer
"What is ITEM 1B. Unresolved Staff Comments in the NIKE, INC. Annual Report on Form 10-K table of contents?","['Table of Contents\nNIKE, INC.ANNUAL REPORT ON FORM 10-KTABLE OF CONTENTS\nPAGE\nPART I 1\nITEM 1. Business 1\nGeneral 1\nProducts 1\nSales and Marketing 2\nOur Markets 2\nSignificant Customer 3\nProduct Research, Design and Development 3\nManufacturing 3\nInternational Operations and Trade 4\nCompetition 5\nTrademarks and Patents 5\nHuman Capital Resources 6\nAvailable Information and Websites 7\nInformation about our Executive Officers 8\nITEM 1A.Risk Factors 9\nITEM 1B.Unresolved Staff Comments 24\nITEM 2. Properties 24']","In the NIKE, INC. Annual Report on Form 10-K table of contents, ITEM 1B. Unresolved Staff Comments appears on page 24.",Avery Collins,MISSPELLED,LONG,single_hop_specific_query_synthesizer
"What section in the provided SEC filing outline is labeled ITEM 4. Mine Safety Disclosures, and what page number is it listed with?","[""ITEM 1A.Risk Factors 9\nITEM 1B.Unresolved Staff Comments 24\nITEM 2. Properties 24\nITEM 3. Legal Proceedings 24\nITEM 4. Mine Safety Disclosures 24\nPART II 25\nITEM 5. Market for Registrant's Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities 25\nITEM 6. Reserved 27\nITEM 7. Management's Discussion and Analysis of Financial Condition and Results of Operations 28\nITEM 7A.Quantitative and Qualitative Disclosures about Market Risk 49""]","In the provided filing outline, ITEM 4. Mine Safety Disclosures is listed as ""ITEM 4. Mine Safety Disclosures 24"".",Jordan Ellis,WEB_SEARCH_LIKE,LONG,single_hop_specific_query_synthesizer
What does the ProxyStatement have to do with Part III in this filing?,"['ITEM 9C.Disclosure Regarding Foreign Jurisdictions that Prevent Inspections 91\nPART III 92\n(Except for the information set forth under “Information about our Executive Officers” in Item 1 above, Part III is incorporated by reference from the ProxyStatement for the NIKE, Inc. 2023 Annual Meeting of Shareholders.)\nITEM 10.Directors, Executive Officers and Corporate Governance 92\nITEM 11. Executive Compensation 92']","Except for the information set forth under “Information about our Executive Officers” in Item 1 above, Part III is incorporated by reference from the ProxyStatement for the NIKE, Inc. 2023 Annual Meeting of Shareholders.",Avery Collins,POOR_GRAMMAR,MEDIUM,single_hop_specific_query_synthesizer
"In the provided description, what does NIKE Direct include?","['Our principal business activity is the design, development and worldwide marketing and selling of athletic footwear, apparel, equipment, accessories and services. NIKE is\nthe largest seller of athletic footwear and apparel in the world. We sell our products through NIKE Direct operations, which are comprised of both NIKE-owned retail stores\nand sales through our digital platforms (also referred to as ""NIKE Brand Digital""), to retail accounts and to a mix of independent distributors, licensees and sales']","In the provided description, NIKE Direct operations are comprised of both NIKE-owned retail stores and sales through NIKE’s digital platforms (also referred to as ""NIKE Brand Digital""), to retail accounts and to a mix of independent distributors, licensees and sales.",Avery Collins,PERFECT_GRAMMAR,MEDIUM,single_hop_specific_query_synthesizer
"What does May 31, 2020 mean in the context of NIKE fiscal years?","[""are manufactured both in the United States and abroad.\nAll references to fiscal 2023, 2022, 2021 and 2020 are to NIKE, Inc.'s fiscal years ended May 31, 2023, 2022, 2021 and 2020, respectively. Any references to other fiscal\nyears refer to a fiscal year ending on May 31 of that year.\nPRODUCTS\nOur NIKE Brand product offerings are aligned around our consumer construct focused on Men's, Women's and Kids'. We also design products specifically for the Jordan""]","All references to fiscal 2023, 2022, 2021 and 2020 are to NIKE, Inc.'s fiscal years ended May 31, 2023, 2022, 2021 and 2020, respectively. Any references to other fiscal years refer to a fiscal year ending on May 31 of that year.",Jordan Ellis,MISSPELLED,MEDIUM,single_hop_specific_query_synthesizer
